logger,start_date,end_date,wetland
1a,01/01/2014,12/31/2014,W0
2a,01/01/2014,12/31/2014,W1
3a,01/01/2014,12/31/2014,W2
4a,01/01/2014,12/31/2014,W3
5a,01/01/2014,12/31/2014,W4
6a,01/01/2014,12/31/2014,W5
7a,01/01/2014,12/31/2014,W6
8a,01/01/2014,12/31/2014,W7
9a,01/01/2014,12/31/2014,W8
10a,01/01/2014,12/31/2014,W9
1a,1/1/2015,12/31/2015,W1
2a,1/1/2015,12/31/2015,W2
3a,1/1/2015,12/31/2015,W3
4a,1/1/2015,12/31/2015,W4
5a,1/1/2015,12/31/2015,W5
6a,1/1/2015,12/31/2015,W6
7a,1/1/2015,12/31/2015,W7
8a,1/1/2015,12/31/2015,W8
9a,1/1/2015,12/31/2015,W9
10a,1/1/2015,12/31/2015,W0